ItemNumber	Description	Manufacturer	Category	ImageURL	PDFURL	ProductURL	Tags
6508K131	Compact Rotary Air Actuator	MCMASTER	Actuator	https://ryedesign.github.io/spare-parts-assets/McMaster_6508K131_CompactRotaryAirActuator.png	https://ryedesign.github.io/spare-parts-assets/McMaster_6508K131_CompactRotaryAirActuator.pdf		actuator, hardware, mcmaster, mcmaster-carr
70978149	ATDR6 Fuse Time-Delay Class CC Current Limiting 200kA AC/100kA DC 600VAC/300VDC 6A	MERSEN	Electrical	https://ryedesign.github.io/spare-parts-assets/Mersen_70978149_ATDR6FuseTime-Delay.png	https://ryedesign.github.io/spare-parts-assets/Mersen_70978149_ATDR6FuseTime-Delay.pdf		electrical, fuse, mersen, overcurrent, protection
70978843	Fuseholder, Class CC, UltraSafe, 3P, 600VAC/DC, SCCR 200kA, 30A, Screw Terminal	MERSEN	Electrical	https://ryedesign.github.io/spare-parts-assets/Mersen_70978843_USCC3Fuseholder.png	https://ryedesign.github.io/spare-parts-assets/Mersen_70978843_USCC3Fuseholder.pdf		electrical, fuse, mersen, overcurrent, protection
A70QS50-22F	AMP TRAP FORM 101 Pn: 34987 UPC: 78200114210	MERSEN	Electrical	https://ryedesign.github.io/spare-parts-assets/Mersen_A70QS50-22F_AMP-TRAPSemiconductorFuse.png	https://ryedesign.github.io/spare-parts-assets/Mersen_A70QS50-22F_AMP-TRAPSemiconductorFuse.pdf		electrical, mersen
R331169 US223	ULTRASAFE 750V-100A 22MM 3P Pn: 10805 UPC: 78200131133	MERSEN	Electrical	https://ryedesign.github.io/spare-parts-assets/Mersen_R331169_US223UltraSafeModularFuseHolder.png	https://ryedesign.github.io/spare-parts-assets/Mersen_R331169_US223UltraSafeModularFuseHolder.pdf		electrical, mersen
58902	XENTERRA 8TX UNMANAGED SWITCH 8 PORT 100Mbit	MURR	Electrical	https://ryedesign.github.io/spare-parts-assets/Murr_58902_Xenterra8PortSwitch.png	https://ryedesign.github.io/spare-parts-assets/Murr_58902_Xenterra8PortSwitch.pdf		electrical, ethernet switch, murr, murr connector, murrelektronik, network switch, unmanaged switch
58904	XENTERRA 16TX UNMANAGED SWITCH 16 PORT 100Mbit	MURR	Electrical	https://ryedesign.github.io/spare-parts-assets/Murr_58904_Xenterra16PortSwitch.png	https://ryedesign.github.io/spare-parts-assets/Murr_58904_Xenterra16PortSwitch.pdf		electrical, ethernet switch, murr, murr connector, murrelektronik, network switch, unmanaged switch
8000-44752-0000000	5 PIN THRU WALL, SET OF 4	MURR	Electrical	https://ryedesign.github.io/spare-parts-assets/Murr_8000-44752-0000000_5PinThruWall.png	https://ryedesign.github.io/spare-parts-assets/Murr_8000-44752-0000000_5PinThruWall.pdf		electrical, murr, murr connector, murrelektronik
8000-88590-000000	EXACT12, 8XM12, 5 POL...5TH POLE CONNECTED (GROUND)..BACK SIDE TERMINALS	MURR	Electrical	https://ryedesign.github.io/spare-parts-assets/Murr_8000-88590-0000000_Exact12.png	https://ryedesign.github.io/spare-parts-assets/Murr_8000-88590-0000000_Exact12.pdf		electrical, murr, murr connector, murrelektronik
OPTCT3MLSF	CT 3M Infrared Temperature Sensor	OPTRIS	Sensors	https://ryedesign.github.io/spare-parts-assets/Optris_OPTCT3MLSF_CT3MInfraredTempSensor.png	https://ryedesign.github.io/spare-parts-assets/Optris_OPTCT3MLSF_CT3MInfraredTempSensor.pdf		infrared, ir sensor, optris, sensors, temperature sensor, thermal sensor
